"URL"	"Keywords"	"Keyword Count"	"DateTime"	"Favorite Count"	"Retweet"	"Lang"	"LinkCount"	"Link1"	"Link2"	"Link3"	"Author"	"Text"	"Followers"	"Friends"	"Location"	"Timezone"	"UTC Offset"
"http://twitter.com/3326097551/status/716437823977598977"	""	"0"	"Sun Apr 03 01:31:02 +0000 2016"	"0"	"0"	"en"	"2"	"https://t.co/cqb3BQ1BVY"	"https://t.co/KPoW12tOe9"	""	"courtnie_henry"	"🔴 LIVE @itsnickhorton on #YouNow - https://t.co/cqb3BQ1BVY https://t.co/KPoW12tOe9"	"1495"	"3741"	""	""	""
"http://twitter.com/244295030/status/716437870110707712"	""	"0"	"Sun Apr 03 01:31:13 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"GIANNIISKING"	"endless dogs where I stay including rocky"	"927"	"399"	"wit ur old man! "	"Alaska"	"-28800"
"http://twitter.com/2375531893/status/716437727504310276"	""	"0"	"Sun Apr 03 01:30:39 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/majHGmw1Dj"	""	""	"stang_michael"	"Missed great #Aprils fool!! Too cool https://t.co/majHGmw1Dj"	"4614"	"4935"	""	"Central Time (US & Canada)"	"-18000"
"http://twitter.com/4885161812/status/716437832340938752"	""	"0"	"Sun Apr 03 01:31:04 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"beaemoji"	"ALESSIA LOOKS SO BEAUTIFUL #JFCAlessiaCara"	"2"	"15"	""	"Pacific Time (US & Canada)"	"-25200"
"http://twitter.com/1938142268/status/716437668792414208"	""	"0"	"Sun Apr 03 01:30:25 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"chocouke"	"I made a new friend again :)"	"715"	"599"	"7.28 | T&G | AMDA"	"Arizona"	"-25200"
"http://twitter.com/2927651113/status/716437652019412993"	""	"0"	"Sun Apr 03 01:30:21 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/lQn2Wl4Syo"	""	""	"jazzysio"	"CODY https://t.co/lQn2Wl4Syo"	"826"	"863"	"california."	"Tijuana"	"-25200"
"http://twitter.com/3164184696/status/716437677172662272"	""	"0"	"Sun Apr 03 01:30:27 +0000 2016"	"0"	"0"	"en"	"2"	"https://t.co/Hrgz3xHWQs"	"https://t.co/H8HFB078F7"	""	"ChaturbateShare"	"RT @camshubxxx: In the Water #busty #boobs #nsfw https://t.co/Hrgz3xHWQs https://t.co/H8HFB078F7"	"7088"	"53"	"Worldwide"	"Singapore"	"28800"
"http://twitter.com/710498254882902017/status/716437786228690944"	""	"0"	"Sun Apr 03 01:30:53 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"larryizr3al"	"#BestFanArmy #Directioners #iHeartAwards GO DIRECTIONERS GO 3870"	"4"	"27"	""	""	""
"http://twitter.com/4711440265/status/716437685569785856"	""	"0"	"Sun Apr 03 01:30:29 +0000 2016"	"0"	"0"	"en"	"2"	"https://t.co/dN7IsUvFPf"	"https://t…"	""	"iCarPics"	"RT @deFactNow: 5 Years Ago, A Young Veteran Threw Himself On A Grenade ToSave A Friend. This Is Him Today https://t.co/dN7IsUvFPf https://t…"	"863"	"1279"	"New York, NY"	"Pacific Time (US & Canada)"	"-25200"
"http://twitter.com/137935854/status/716437756872790018"	""	"0"	"Sun Apr 03 01:30:46 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"PANDPTWEET"	"@jimdonovan57 @donnydooley @DannyBreenNL o wish folks would get together on this, but they accept it."	"1548"	"1771"	"47.597749,-52.69467"	"Atlantic Time (Canada)"	"-10800"
"http://twitter.com/44552918/status/716437689738743808"	""	"0"	"Sun Apr 03 01:30:30 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"PhysicistLisa"	"@coulombe i have always tried and never regularly rock climbed but maybe it will stick this time? Who knows!"	"4955"	"845"	"Denver"	"Mountain Time (US & Canada)"	"-21600"
"http://twitter.com/87984148/status/716437903673569280"	""	"0"	"Sun Apr 03 01:31:21 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"LowkolChamp"	"@_BHRiS must have looked in the mirror recently"	"1788"	"414"	"VA "	"Central Time (US & Canada)"	"-18000"
"http://twitter.com/230698311/status/716437840746254336"	""	"0"	"Sun Apr 03 01:31:06 +0000 2016"	"0"	"0"	"en"	"2"	"https://t.co/mVphgauzLZ"	"https://t.co/zmHxxZFvSn"	""	"paaako34"	"RT @Worlds2016: Beautiful, amazing, touching. Mao Asada stole Boston's heart. #Worlds2016 https://t.co/mVphgauzLZ https://t.co/zmHxxZFvSn"	"54"	"112"	"長野県"	"Tokyo"	"32400"
"http://twitter.com/17621549/status/716437811369480192"	""	"0"	"Sun Apr 03 01:30:59 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/POPSY2tMjG"	""	""	"ReikiAwakening"	"Experiencing #Reiki helps your healing. I'm here to help! https://t.co/POPSY2tMjG"	"24982"	"24075"	"Gaithersburg, MD USA"	"Eastern Time (US & Canada)"	"-14400"
"http://twitter.com/1890329436/status/716437727479275520"	""	"0"	"Sun Apr 03 01:30:39 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"vicmongiello"	"Yes staying in tonight !!"	"957"	"664"	"rip creamer♡"	"Atlantic Time (Canada)"	"-10800"
"http://twitter.com/2241906632/status/716437882672549888"	""	"0"	"Sun Apr 03 01:31:16 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"BlackjesusAngel"	"Snoop dogg got in the wwe hall of fame 😂😂?"	"640"	"650"	""	""	""
"http://twitter.com/715844361062379521/status/716437639419838464"	""	"0"	"Sun Apr 03 01:30:18 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/Nh8x3d5dMP😓"	""	""	"ManuelaWilimbru"	"😞 #australianagenda Djokovic is the Australian agenda for Murray but Kim&amp;#39;s firmly on his ... 😞 https://t.co/Nh8x3d5dMP😓"	"65"	"22"	""	""	""
"http://twitter.com/136510509/status/716437735880298496"	""	"0"	"Sun Apr 03 01:30:41 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"ibsoundsbetter"	"RT @tkmsingh: At the NCB ATM Northside Plaza and two children just standing asking for help @CDAJm @ncbja How can we protect children @UNIC…"	"3022"	"1312"	"DMV ✈️ Portmore"	"Quito"	"-18000"
"http://twitter.com/1150099716/status/716437815584694272"	""	"0"	"Sun Apr 03 01:31:00 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/9y6BIjZGON"	""	""	"boalyboy"	"Until they can't win the flag I'm not writing them off. https://t.co/9y6BIjZGON"	"95"	"298"	""	""	""
"http://twitter.com/2820792552/status/716437710731227136"	""	"0"	"Sun Apr 03 01:30:35 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/gu4nl8jGGq"	""	""	"Reckless_Lou"	"RT @Luke5SOS: When the tour is still 2 days away but you're ready now https://t.co/gu4nl8jGGq"	"1716"	"1529"	"Dallas, TX"	"Central Time (US & Canada)"	"-18000"
"http://twitter.com/2418141193/status/716437693962579968"	""	"0"	"Sun Apr 03 01:30:31 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/0ESqcRCPjX"	""	""	"MickeyMike0909"	"RT @FinleyFawn: Methinks you should come have a show with me at https://t.co/0ESqcRCPjX cause I'm on now! #milf &amp; #livecams &amp; stuff https:/…"	"95"	"61"	"Montréal, Québec"	"Eastern Time (US & Canada)"	"-14400"
"http://twitter.com/2910241204/status/716437681354330113"	""	"0"	"Sun Apr 03 01:30:28 +0000 2016"	"0"	"0"	"en"	"2"	"https://t.co/iuAhJpgpa0"	"https://t.co/P3Ru…"	""	"BradburyBritney"	"RT @xoShaaan: Sephora haul up Monday ☺️💕👌🏼 https://t.co/iuAhJpgpa0 ⬅️ subscribe for free so you see it first! 💋 #shaaanxo https://t.co/P3Ru…"	"1297"	"1637"	""	""	""
"http://twitter.com/4474718073/status/716437891082285056"	""	"0"	"Sun Apr 03 01:31:18 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"_castaway_queen"	"RT @planetmashton: @Ashton5SOS @5SOS holy"	"610"	"1637"	"Bahia, Brasil"	"Pacific Time (US & Canada)"	"-25200"
"http://twitter.com/1123966867/status/716437886862802944"	""	"0"	"Sun Apr 03 01:31:17 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/U6V4pDS5SF"	""	""	"OrangeCrush2k16"	"@youadorelex Get Ready🚨 #OrangeCrush2k16 4//15TH//2K16  💦#TheWetterTheBetter ➕ 👯👙#AnyThingButClothes #SSU #SSU19 https://t.co/U6V4pDS5SF"	"26371"	"339"	"Tybee Island, GA"	"Eastern Time (US & Canada)"	"-14400"
"http://twitter.com/710724618076737536/status/716437773633323008"	""	"0"	"Sun Apr 03 01:30:50 +0000 2016"	"0"	"0"	"en"	"2"	"https://t.co/IC8iaF44Pe"	"https://t.co/UWgaEsYU83"	""	"Vuamvi__Tiazde"	"# AUTH PRE-OWNED LOUIS VUITTON LV VERNIS PERLE WHITE READE PM TOTE BAG M91336 NR - Bid Now… https://t.co/IC8iaF44Pe https://t.co/UWgaEsYU83"	"50"	"0"	"New York, USA"	""	""
"http://twitter.com/2541178447/status/716437861701058560"	""	"0"	"Sun Apr 03 01:31:11 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"fireboltcalum"	"@Luke5SOS so hype"	"6179"	"4391"	"mnl"	"Beijing"	"28800"
"http://twitter.com/706233936/status/716437752657485824"	""	"0"	"Sun Apr 03 01:30:45 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"OriginallyAlex"	"Algebra is extremely useful in everyday life and people who say it isn't are wrong"	"456"	"340"	""	"Central Time (US & Canada)"	"-18000"
"http://twitter.com/1608905815/status/716437727500177413"	""	"0"	"Sun Apr 03 01:30:39 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/mP7JmtCugM"	""	""	"bandsftllamas"	"@Luke5SOS when 5sos don't notice you https://t.co/mP7JmtCugM"	"3219"	"46"	"hello friends"	"Casablanca"	"3600"
